municipio_id,municipio_nombre,establecimiento_id,establecimiento_nombre,region_educativa,clave,cueanexo,modalidad,nivel,direccion,telefono,rpv,email,sector,dependencia,tipo_organizacion,area,ambito,desfavorabilidad,subvencion,sede_axo_ext,categoria,depend_func,cui,periodo,matricula,varones,mujeres,secciones,turnos,cue,anexo,nro_escuela,latitud,longitud
6714,Salto,24087,ANEXO Nº1 DE SECUNDARIA Nº3,Región 13,0066MS3031,61978101,Educación Común,Nivel Secundario,BRASIL E ITUZAINGO - S/N,2474-49-1480,,ees3salto@outlook.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Rural Agrupado,1,Oficial,ANEXO,S/Datos,Dirección Provincial de Educación Secundaria,606600174,Final 2025,19,13,6,2,TARDE,619781,1,3031,-34.39665536,-60.26125207
6882,Zárate,24681,JARDÍN DE INFANTES Nº921,Región 11,0047JI0921,62233600,Educación Común,Nivel Inicial,RUTA NACIONAL Nº 9 KM. 103 - S/N,3487-15-66-6088,,jardin921zarate@gmail.com,Estatal,Oficial,JARDÍN DE INFANTES,INTERIOR,Rural Disperso,1,Oficial,SEDE,Tercera,Dirección Provincial de Educación Inicial,604700430,Final 2025,16,7,9,1,MAÑANA,622336,0,921,-34.06722887,-59.23014749
6441,La Plata,203,"ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº8 ""JUAN BAUTISTA ALBERDI""",Región 1,0001MT0008,60879400,Educación Técnico Profesional,Nivel Secundario,526 - 1264,221-421-3790,,escuelatecnica8tolosa@gmail.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Técnico Profesional,600102688,Final 2025,1012,695,317,47,"MAÑANA,TARDE,VESPERTINO",608794,0,8,-34.89624483,-57.97612549
6427,La Matanza,5706,"ESCUELA DE EDUCACIÓN PRIMARIA Nº162 ""TIERRA DEL FUEGO""",Región 3,0069PP0162,60191200,Educación Común,Nivel Primario,AVENIDA CROVARA - 4991,11-4694-9682,58157,primaria162lamatanza@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN PRIMARIA,CONURBANO,Urbano,2,Oficial,SEDE,Primera,Dirección Provincial de Educación Primaria,606901442,Final 2025,234,117,117,11,"""DOBLE ESCOLARIDAD"",MAÑANA,TARDE",601912,0,162,-34.71189032,-58.55895955
6693,Roque Pérez,17565,JARDÍN DE INFANTES RURAL Nº9,Región 24,0090JS0009,61579000,Educación Común,Nivel Inicial,CUARTEL V - S/N,7245-22-2751-7471,,jardinrural9roqueperez@abc.gob.ar,Estatal,Oficial,JARDÍN DE INFANTES RURAL E ISLAS DE MATRÍCULA MÍNIMA,INTERIOR,Rural Disperso,3,Oficial,SEDE,Tercera,Dirección Provincial de Educación Inicial,609000212,Final 2025,3,2,1,1,MAÑANA,615790,0,9,-35.49620384,-59.38858813
6427,La Matanza,5502,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""JUVENTUD ORGANIZADA DE DORREGO""",Región 3,0069MS0027,61187200,Educación Común,Nivel Secundario,JUAN CRUZ VARELA - 6451,11-45-0596,,secundaria27lamatanza@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,CONURBANO,Urbano,1,Oficial,SEDE,Primera,Dirección Provincial de Educación Secundaria,606907470,Final 2025,442,217,225,18,"MAÑANA,TARDE",611872,0,27,-34.77686104,-58.60570631
6154,Carlos Tejedor,102402,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº451,Región 16,0018DM0451,62379100,Educación de Jóvenes y Adultos,Nivel Secundario,TEJEDOR - 242,2355-46-2783,,cens451carlostejedor@abc.gob.ar,Estatal,Oficial,CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.),INTERIOR,Urbano,0,Oficial,SEDE,Tercera,"Dirección de Educación de Jóvenes, Adultos y Adultos Mayores",601800062,Final 2025,38,12,26,3,NOCHE,623791,0,451,-35.39558942,-62.41618583
6091,Berazategui,9817,ESCUELA ESPECIAL Nº503,Región 4,0119EE0503,60686600,Educación Especial,Formación Integral,CALLE 19 E/ 102 Y 104 - S/N,11-4351-1992,68913,especial503berazategui@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN ESPECIAL,CONURBANO,Urbano,1,Oficial,SEDE,Primera,Dirección de Educación Especial,611900300,Final 2025,145,89,56,0,"""DOBLE ESCOLARIDAD""",606866,0,503,-34.79014415,-58.24966395
6427,La Matanza,16462,INSTITUTO JOSÉ DE SAN MARTIN,Región 3,4069PP3931,61374500,Educación Común,Nivel Primario,QUERANDIES Y RUTA 3 - S/N,2202-49-4716,,institutosanmartin@live.com.ar,Privado,Privada,ESCUELA DE EDUCACIÓN PRIMARIA,CONURBANO,Urbano,0,Subvención parcial 80%,SEDE,Segunda,Dirección de Educación de Gestión Privada,606906495,Final 2025,610,287,323,18,TARDE,613745,0,3931,-34.86334698,-58.66825313
6778,San Vicente,23137,"JARDÍN DE INFANTES Nº912 ""CAROLA LORENZINI""",Región 5,0099JI0912,62062700,Educación Común,Nivel Inicial,PUERTO DE PALOS - 1972,2224-60-5205,,jardin912sanvicente@abc.gob.ar,Estatal,Oficial,JARDÍN DE INFANTES,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Inicial,609900246,Final 2025,220,103,117,10,"MAÑANA,TARDE",620627,0,912,-34.96361978,-58.38731403
